PAYRATE_ID,PAYRATE_Type,PAYRATE_Amount
1,true,38909.43
2,false,17392.64
3,false,24801.52
4,false,89510.86
5,true,55239.78
6,true,16231.45
7,false,1583.66
8,false,20767.23
9,true,21284.41
10,true,39817.0
11,false,42513.9
12,true,71693.79
13,true,3774.02
14,true,17907.38
15,false,52556.74
16,true,48875.75
17,true,8100.38
18,true,24728.4
19,false,16392.52
20,true,79087.75
21,true,84113.76
22,false,23278.85
23,false,79260.77
24,true,16770.51
25,false,64808.55
26,false,39214.28
27,true,63800.88
28,true,20185.34
29,true,89017.74
30,true,40058.28
31,true,19622.83
32,false,82403.76
33,false,31458.57
34,false,95319.12
35,true,10170.26
36,true,8729.91
37,true,6874.52
38,false,67728.87
39,true,98615.0
40,false,36913.94
41,false,12581.77
42,true,59847.22
43,false,32019.78
44,false,2398.77
45,true,41816.48
46,false,64147.83
47,true,68168.21
48,false,49967.08
49,false,68515.65
50,true,79132.53
51,true,22959.33
52,false,25539.08
53,true,88786.2
54,false,45021.29
55,true,49968.19
56,false,7438.66
57,false,6249.32
58,false,22205.27
59,false,2738.06
60,true,14091.56
61,true,75755.72
62,false,29747.9
63,true,25476.6
64,false,89773.96
65,true,5780.78
66,false,75518.53
67,true,3611.05
68,false,77929.09
69,true,88909.23
70,false,10241.94
71,false,15218.62
72,false,99438.77
73,true,57678.44
74,true,59383.31
75,false,55269.32
76,true,27512.87
77,false,8075.58
78,false,71500.59
79,true,49925.98
80,false,69278.33
81,false,74559.16
82,false,14036.56
83,true,26741.33
84,true,74950.86
85,false,20305.52
86,true,76282.93
87,true,25719.89
88,false,80550.9
89,true,703.28
90,true,75743.81
91,false,88899.62
92,true,94403.71
93,true,82305.82
94,false,14028.82
95,false,11332.9
96,true,86763.7
97,false,64075.25
98,false,71383.38
99,false,76350.46
100,false,17559.34
101,true,98308.28
102,true,31805.67
103,false,35244.56
104,true,44893.35
105,true,27075.88
106,false,32254.32
107,false,49904.26
108,true,34649.53
109,false,6348.0
110,true,29870.16
111,true,38122.28
112,true,63579.22
113,true,70665.5
114,true,11910.81
115,true,9447.03
116,true,52898.56
117,false,10453.7
118,false,62915.31
119,false,19512.51
120,false,60233.72
121,true,17877.83
122,false,81597.18
123,false,55363.58
124,true,61439.71
125,true,71953.62
126,true,45656.36
127,false,85348.44
128,false,26390.5
129,false,3271.95
130,false,2584.26
131,false,55462.52
132,false,68508.65
133,true,11558.57
134,false,80495.15
135,false,1481.73
136,false,6859.21
137,false,45657.35
138,true,31389.15
139,false,65249.66
140,false,17401.32
141,true,33330.06
142,false,94974.33
143,false,92025.93
144,true,57776.79
145,false,55411.08
146,false,78713.72
147,true,59918.3
148,false,58402.36
149,true,10424.25
150,false,24823.7
151,false,87563.9
152,false,95772.09
153,true,55795.56
154,false,82912.99
155,true,67547.79
156,false,52251.2
157,false,14432.11
158,false,21090.61
159,false,19797.0
160,true,11521.2
161,true,54038.0
162,true,91914.06
163,false,39512.97
164,false,66647.24
165,true,44885.91
166,false,70873.21
167,true,81861.05
168,true,33519.96
169,true,6413.38
170,false,36594.15
171,false,46593.97
172,true,69812.55
173,true,45940.18
174,false,28238.23
175,false,15605.59
176,false,4957.89
177,true,18265.46
178,false,68012.05
179,true,89603.95
180,true,38815.98
181,true,80173.85
182,false,4057.71
183,false,97282.12
184,false,48207.08
185,true,35571.87
186,true,20807.39
187,true,6038.2
188,true,35117.87
189,false,26358.33
190,false,33986.52
191,false,91479.85
192,false,48226.8
193,true,54383.99
194,false,30199.98
195,false,51489.32
196,true,25294.73
197,false,59369.7
198,false,79547.53
199,false,49893.39
200,true,85894.17
201,false,55360.83
202,true,82021.9
203,false,60633.68
204,false,12514.23
205,true,52019.14
206,true,12167.65
207,false,89192.06
208,false,48276.95
209,false,35556.64
210,true,79173.64
211,true,9439.37
212,true,72950.16
213,false,15748.83
214,true,93638.93
215,false,76393.02
216,true,12781.03
217,true,29688.96
218,true,45398.69
219,false,29158.64
220,true,53463.33
221,true,62088.39
222,false,39181.88
223,true,61081.5
224,true,75368.07
225,true,43929.5
226,false,9134.32
227,true,53285.98
228,false,40259.41
229,false,20508.79
230,true,47329.09
231,true,490.84
232,true,39910.18
233,true,61612.58
234,true,61725.03
235,false,61873.54
236,true,61522.08
237,false,64595.7
238,true,47094.67
239,false,58700.47
240,true,19996.17
241,true,91049.0
242,false,60963.15
243,true,94619.83
244,false,99621.2
245,true,66728.85
246,true,48177.31
247,true,21792.19
248,true,71391.29
249,true,96513.21
250,false,63791.52
251,false,20856.09
252,true,37118.28
253,false,41102.32
254,true,73135.56
255,false,73908.36
256,true,35156.98
257,true,88021.64
258,false,59961.72
259,false,39322.51
260,true,6929.16
261,true,94174.16
262,false,11495.5
263,false,20856.06
264,true,62224.72
265,true,43451.34
266,true,68435.89
267,true,97709.42
268,false,16598.69
269,false,9717.64
270,true,22583.96
271,false,90971.73
272,false,11148.07
273,false,52644.1
274,true,19265.71
275,true,35863.05
276,true,37924.57
277,false,63690.79
278,false,38088.0
279,false,41044.1
280,true,32626.59
